productName,lectorName,Price,learnerCount
祁连山Photoshop专家讲堂,祁连山,0.0,33813
Python数据分析实战,Albert Jin,110.0,667
photoshop初学入门教程-PS零基础教程,,0.0,49290
解锁H5操作全技能（职场必备技能）,老猪 等,0.0,55845
零基础学编程系列之C++入门,徐嵩,0.0,14069
4级核心词汇之光明使者,,0.0,71579
Excel2010 企业职场教程（免费版）,秦川70,0.0,46414
大数据工程师高级VIP全套系列课程,老沃特 等,2888.0,283
EDP：提高十倍效率的时间管理法则,陈玉国,38.88,1534
学什么数学,鸭梨山大,0.0,31791
MySQL数据库,高洛峰　,0.0,84101
《跟小贤学运营》,跟小贤学运营,99.0,1054
15种构图法则剖析教学视频（免费）,雷波,0.0,84627
微博营销：微博赚钱十八式,萧秋水 等,129.0,1032
Excel教程之oeasy教你玩EXCEL（Excel/excel）,Excel教程讲师oeasy 等,0.0,61177
Bootstrap视频教程,李炎恢,0.0,43637
让人生弯道超车的效率秘籍,张丹茹Angie 等,199.0,562
word教程-oeasy教你玩转Word教程,word讲师oeasy,0.0,56875
零基础乐理教程【全12集】,,0.0,48287
力哥说理财,力哥说理财,0.0,66349
写好行楷很简单,李宣鸿,99.0,464
新概念英语第三册精读,任杰Jack,198.0,379
向咨询行业学图表,一图,100.0,4142
乐理进阶级,张智,39.8,898
淘宝美工教程ps实战教程平面设计海报设计教程,冰美人设计,0.0,75346
数学四大名“补” - 七年级版,考拉超级课堂,99.0,1120
Camtasia Studio8.6软件入门到精通,展博老师,348.0,791
微信公众号起步指南,勾俊伟,9.9,2706
建筑家装4部曲【CAD图纸设计】,秦双宇 等,99.0,1189
FitTime 基础体能训练系列,,0.0,76584
百度推广教程【300集】《独家》,卢永国,388.0,326
RAW格式:风光摄影高手后期训练营,光线摄影学院曾兰老师 等,99.0,696
C语言基础入门,C3程序猿,0.0,17366
新版标准日本语初级(上册)精讲,秋叶旅人KS,0.0,16088
2016银行考试内部精品课（笔试篇）,梅高翔,99.0,2363
实用数字行书快速入门,pxh虎,36.0,1414
R语言数据分析实战,肖凯,120.0,825
摄影评片会,咔图叶梓,0.0,59939
2016新版Ps平面设计基础及进阶,对啊网,0.0,55729
JavaScript,翁恺,0.0,91776
快速上手运营（求职、转行、提升）,南北说运营,99.0,569
大学英语四级冲刺课程,付博 等,0.0,41531
超有趣手机拍照教学,吴宗恩,0.0,77228
spss松哥高级统计教程-实验万事屋,松哥统计,599.0,596
PHP100视频教程2012版,张恩民,0.0,52527
无摄影，不旅行,咔图叶梓,98.0,1629
HR专家训练营-2018版,刘建华 等,4800.0,767
AutoCAD二维制图轻量化教程,蓝领教育团队,0.0,22160
Elena带你学国际音标,Elena,129.0,2653
轻松读书51：高效能人士的七个习惯,波波羊,0.0,72336
60秒学英语（每周一更新）,,0.0,33820
罐头小厨,,0.0,11870
21天记忆训练(双学位学霸主讲),波力 等,99.0,898
【英盛网】人力资源培训班,刘秋华,510.0,931
【0基础起点】JAVA你得这样学2016年版,李兴华,0.0,14652
实验万事屋欢天喜地写标书 教程,,399.0,1198
Web前端开发｜Html/CSS/Javascript,程刚老师,0.0,35218
全民一起VBA基础篇(Excel数据处理),杨洋老师,0.0,24687
C语言也能干大事：游戏开发,杨中科,0.0,26170
全国计算机二级公共基础知识—精讲,张成叔,50.0,1839
说文解词-中级(大学版) 公开课,杜松老师,0.0,38719
广告级皮肤修饰,良知塾李涛,25.0,1840
看《running man》学韩语,马丽娜,0.0,67998
微信营销：18招教你运营好微信公众账号,萧秋水 等,199.0,2622
文献阅读精读第一期（实验万事屋）,,99.0,1103
会计从业资格证<会计基础>,对啊网,0.0,56751
新媒体运营宝典,新媒体运营宝典 等,19.9,5410
无痛英语第二季,钟平老师,99.0,1352
Python快速入门,唐宇迪,0.0,37775
PS教程-Photoshop软件精修全集,万晨曦,10.0,9316
PPT教程-oeasy教你玩转ppt（PowerPoint/PPT),ppt/powerpoint讲师oeasy 等,0.0,103533
Oracle从入门到精通,李兴华,0.0,22409
JS基础课程,,0.0,22786
信号与系统,巍海,0.0,19358
2分钟搞定西班牙语 - 第一季,古德曼GDM,0.0,31415
多肉课堂,弄花侍草,0.0,39909
产品经理入门指南,刘文智,199.0,1569
FitTime 马甲线养成计划,,0.0,42215
实验万事屋SCI写作教程,,499.0,1062
c语言也能开发网站,杨中科,0.0,22505
Ohlala法语,戴亮,0.0,62145
分子生物学中级班（实验万事屋）,李莫愁博士 等,299.0,658
轻松读书69期：如何做计划,波波羊,0.0,132312
平面设计【indesign排版技法】,顾领中,129.0,946
计算广告2.0,刘鹏,880.0,528
EXCEL 2013高手技巧,曾贤志OFFICE教室,0.0,68431
Hinton机器学习与神经网络中文课程,Geoffrey Everest Hinton,0.0,12425
职场英语必备——一歌一词一习语（初级）,王雅鑫 等,0.0,58077
如何克服拖延症！,,0.0,114494
吕鑫：《VC++就业培训宝典之MFC视频教程》,吕鑫老师,0.0,23360
《和文牛一起学AI》2017最新版,文牛,99.0,494
穿越单词记忆词典（632课不限时）,傅建斌,888.0,200
恋爱行为学追女孩子的聊天技巧套路,毅修 等,0.0,80232
注册会计师（CPA）考试-经济法（全）,,0.0,19423
jQuery EasyUI视频教程,李炎恢,0.0,24113
天猫范｜网页设计组合代码课程DW,顾领中,129.0,963
从零学编程免费公开课,极客编程,0.0,11022
跟Alex学Python开发入门经典,Alex,9.9,1148
看奥斯卡最佳动画学口语,ACE英语网校,0.0,47196
商务演示PPT精英新手村,一宏,99.0,2762
Photoshop 从入门到精通（含素材）,雷波,99.0,3257
美得不像话的EXCEL2016图表,肖帮主 等,0.0,86336
手把手教你做霸气简历,实习问,0.0,72636
和趣弹一起学尤克里里（零基础入门教学）,,0.0,23655
精听歌曲学英语,任杰Jack,0.0,73110
美丽百分百--个人形象管理,李昀,0.0,58057
Java学习指南系列（安卓入门）,阿发你好,38.0,327
